Graph Name,No of sources of Evidences,Controller,Average-Case Controller to Switch
COGENTCO.GRAPHML,4,2,0.005714285714285714
COGENTCO.GRAPHML,4,12,0.005714285714285714
COGENTCO.GRAPHML,4,4,0.09142857142857143
COGENTCO.GRAPHML,4,38,0.08571428571428572
COGENTCO.GRAPHML,4,14,0.8571428571428571
COGENTCO.GRAPHML,4,13,0.03428571428571429
COGENTCO.GRAPHML,4,19,0.19428571428571428
COGENTCO.GRAPHML,4,5,0.2571428571428571
COGENTCO.GRAPHML,4,158,0.045714285714285714
COGENTCO.GRAPHML,4,37,0.03428571428571429
COGENTCO.GRAPHML,4,28,0.21714285714285714
COGENTCO.GRAPHML,4,183,0.15428571428571428
COGENTCO.GRAPHML,4,92,0.10857142857142857
COGENTCO.GRAPHML,4,77,0.12
COGENTCO.GRAPHML,4,32,0.005714285714285714
COGENTCO.GRAPHML,4,26,0.08571428571428572
COGENTCO.GRAPHML,4,70,0.017142857142857144
COGENTCO.GRAPHML,4,75,0.005714285714285714
COGENTCO.GRAPHML,4,49,0.045714285714285714
COLT.GRAPHML,2,152,0.5570469798657718
COLT.GRAPHML,2,138,0.5100671140939598
COLT.GRAPHML,2,140,1.832214765100671
COLT.GRAPHML,2,142,1.523489932885906
COLT.GRAPHML,3,72,0.23140495867768596
COLT.GRAPHML,3,2,0.05785123966942149
COLT.GRAPHML,3,18,0.14049586776859505
COLT.GRAPHML,3,13,0.09090909090909091
COLT.GRAPHML,3,10,0.08264462809917356
COLT.GRAPHML,3,0,0.03305785123966942
COLT.GRAPHML,3,21,0.10743801652892562
COLT.GRAPHML,3,106,0.008264462809917356
COLT.GRAPHML,3,109,0.008264462809917356
COLT.GRAPHML,3,138,0.03305785123966942
COLT.GRAPHML,3,14,0.024793388429752067
COLT.GRAPHML,3,68,0.01652892561983471
COLT.GRAPHML,3,78,0.03305785123966942
COLT.GRAPHML,3,17,0.05785123966942149
COLT.GRAPHML,3,15,0.01652892561983471
COLT.GRAPHML,3,53,0.11570247933884298
COLT.GRAPHML,3,23,0.024793388429752067
COLT.GRAPHML,3,75,0.12396694214876033
COLT.GRAPHML,3,51,0.01652892561983471
COLT.GRAPHML,3,60,0.008264462809917356
COLT.GRAPHML,3,39,0.01652892561983471
COLT.GRAPHML,3,74,0.05785123966942149
COLT.GRAPHML,3,84,0.008264462809917356
COLT.GRAPHML,3,63,0.008264462809917356
COLT.GRAPHML,3,139,0.06611570247933884
COLT.GRAPHML,3,73,0.01652892561983471
COLT.GRAPHML,3,107,0.01652892561983471
COLT.GRAPHML,3,49,0.024793388429752067
COLT.GRAPHML,3,123,0.01652892561983471
COLT.GRAPHML,3,86,0.01652892561983471
COLT.GRAPHML,3,136,0.008264462809917356
COLT.GRAPHML,3,80,0.008264462809917356
COLT.GRAPHML,4,66,0.20300751879699247
COLT.GRAPHML,4,72,0.07518796992481203
COLT.GRAPHML,4,2,0.05263157894736842
COLT.GRAPHML,4,10,0.07518796992481203
COLT.GRAPHML,4,18,0.24812030075187969
COLT.GRAPHML,4,13,0.06766917293233082
COLT.GRAPHML,4,0,0.03007518796992481
COLT.GRAPHML,4,138,0.5714285714285714
COLT.GRAPHML,4,16,0.022556390977443608
COLT.GRAPHML,4,106,0.007518796992481203
COLT.GRAPHML,4,109,0.022556390977443608
COLT.GRAPHML,4,17,0.09774436090225563
COLT.GRAPHML,4,21,0.13533834586466165
COLT.GRAPHML,4,54,0.45112781954887216
COLT.GRAPHML,4,14,0.007518796992481203
COLT.GRAPHML,4,140,0.08270676691729323
COLT.GRAPHML,4,68,0.007518796992481203
COLT.GRAPHML,4,78,0.015037593984962405
COLT.GRAPHML,4,51,0.12030075187969924
COLT.GRAPHML,4,12,0.007518796992481203
DELTACOM.GRAPHML,2,47,2.324074074074074
DELTACOM.GRAPHML,2,104,0.25925925925925924
DELTACOM.GRAPHML,2,60,0.046296296296296294
DELTACOM.GRAPHML,2,3,0.7685185185185185
DELTACOM.GRAPHML,2,19,0.35185185185185186
DELTACOM.GRAPHML,3,3,0.16346153846153846
DELTACOM.GRAPHML,3,47,1.1923076923076923
DELTACOM.GRAPHML,3,0,0.21153846153846154
DELTACOM.GRAPHML,3,4,0.019230769230769232
DELTACOM.GRAPHML,3,6,0.22115384615384615
DELTACOM.GRAPHML,3,60,0.2403846153846154
DELTACOM.GRAPHML,3,19,0.3557692307692308
DELTACOM.GRAPHML,3,1,0.009615384615384616
DELTACOM.GRAPHML,3,2,0.8653846153846154
DELTACOM.GRAPHML,4,3,0.21153846153846154
DELTACOM.GRAPHML,4,47,1.1923076923076923
DELTACOM.GRAPHML,4,0,0.21153846153846154
DELTACOM.GRAPHML,4,6,0.22115384615384615
DELTACOM.GRAPHML,4,60,0.18269230769230768
DELTACOM.GRAPHML,4,1,0.009615384615384616
DELTACOM.GRAPHML,4,19,0.33653846153846156
DELTACOM.GRAPHML,4,2,0.8653846153846154
DELTACOM.GRAPHML,4,10,0.028846153846153848
GARR201110.GRAPHML,2,14,0.5370370370370371
GARR201110.GRAPHML,2,53,0.25925925925925924
GARR201110.GRAPHML,2,35,0.3148148148148148
GARR201110.GRAPHML,2,33,0.05555555555555555
GARR201110.GRAPHML,2,18,0.3148148148148148
GARR201110.GRAPHML,3,56,0.34782608695652173
GARR201110.GRAPHML,3,16,0.17391304347826086
GARR201110.GRAPHML,3,20,0.2391304347826087
GARR201110.GRAPHML,3,43,0.08695652173913043
GARR201110.GRAPHML,3,1,0.06521739130434782
GARR201110.GRAPHML,3,40,0.15217391304347827
GARR201110.GRAPHML,3,13,0.10869565217391304
GARR201110.GRAPHML,3,39,0.06521739130434782
GARR201110.GRAPHML,3,51,0.021739130434782608
GARR201110.GRAPHML,3,52,0.021739130434782608
GARR201110.GRAPHML,3,58,0.021739130434782608
GARR201110.GRAPHML,3,33,0.08695652173913043
GARR201110.GRAPHML,3,14,0.1956521739130435
GARR201110.GRAPHML,4,51,0.02
GARR201110.GRAPHML,4,50,0.14
GARR201110.GRAPHML,4,55,0.44
GARR201110.GRAPHML,4,39,0.5
GARR201110.GRAPHML,4,49,0.32
GARR201110.GRAPHML,4,30,0.12
GARR201110.GRAPHML,4,43,0.08
GARR201110.GRAPHML,4,57,0.32
GARR201110.GRAPHML,4,7,0.06
GEANT2001,2,3,0.5
GEANT2001,2,20,0.045454545454545456
GEANT2001,2,2,0.2727272727272727
GEANT2001,2,21,0.18181818181818182
GEANT2001,2,9,0.22727272727272727
GEANT2001,3,7,0.14285714285714285
GEANT2001,3,19,0.047619047619047616
GEANT2001,3,5,0.2857142857142857
GEANT2001,3,20,0.6666666666666666
GEANT2001,3,18,0.047619047619047616
GEANT2001,3,9,0.14285714285714285
GEANT2001,4,26,0.2857142857142857
GEANT2001,4,17,0.19047619047619047
GEANT2001,4,25,0.47619047619047616
GEANT2001,4,11,0.14285714285714285
GEANT2001,4,12,0.38095238095238093
GEANT2001,4,7,0.09523809523809523
GRNET.GRAPHML,2,20,0.25806451612903225
GRNET.GRAPHML,2,30,0.5806451612903226
GRNET.GRAPHML,2,8,0.2903225806451613
GRNET.GRAPHML,2,2,0.0967741935483871
GRNET.GRAPHML,2,15,0.06451612903225806
GRNET.GRAPHML,2,24,0.16129032258064516
GRNET.GRAPHML,3,5,0.5454545454545454
GRNET.GRAPHML,3,0,0.8787878787878788
GRNET.GRAPHML,3,26,0.8181818181818182
GRNET.GRAPHML,3,21,0.12121212121212122
GRNET.GRAPHML,4,29,0.8709677419354839
GRNET.GRAPHML,4,16,0.16129032258064516
GRNET.GRAPHML,4,9,0.06451612903225806
GRNET.GRAPHML,4,26,0.8064516129032258
GRNET.GRAPHML,4,4,0.06451612903225806
GRNET.GRAPHML,4,3,0.16129032258064516
INTELLIFIBER.GRAPHML,2,46,0.11290322580645161
INTELLIFIBER.GRAPHML,2,15,0.25806451612903225
INTELLIFIBER.GRAPHML,2,44,0.04838709677419355
INTELLIFIBER.GRAPHML,2,23,0.03225806451612903
INTELLIFIBER.GRAPHML,2,19,0.1774193548387097
INTELLIFIBER.GRAPHML,2,53,0.11290322580645161
INTELLIFIBER.GRAPHML,2,6,1.1129032258064515
INTELLIFIBER.GRAPHML,2,55,0.04838709677419355
INTELLIFIBER.GRAPHML,2,24,0.1935483870967742
INTELLIFIBER.GRAPHML,2,34,0.08064516129032258
INTELLIFIBER.GRAPHML,2,41,0.016129032258064516
INTELLIFIBER.GRAPHML,3,15,0.288135593220339
INTELLIFIBER.GRAPHML,3,1,0.2711864406779661
INTELLIFIBER.GRAPHML,3,19,0.22033898305084745
INTELLIFIBER.GRAPHML,3,5,0.03389830508474576
INTELLIFIBER.GRAPHML,3,7,0.06779661016949153
INTELLIFIBER.GRAPHML,3,2,0.13559322033898305
INTELLIFIBER.GRAPHML,3,46,0.11864406779661017
INTELLIFIBER.GRAPHML,3,24,0.11864406779661017
INTELLIFIBER.GRAPHML,3,16,0.01694915254237288
INTELLIFIBER.GRAPHML,3,53,0.11864406779661017
INTELLIFIBER.GRAPHML,3,3,0.05084745762711865
INTELLIFIBER.GRAPHML,3,9,0.05084745762711865
INTELLIFIBER.GRAPHML,3,34,0.0847457627118644
INTELLIFIBER.GRAPHML,3,55,0.05084745762711865
INTELLIFIBER.GRAPHML,4,15,0.29310344827586204
INTELLIFIBER.GRAPHML,4,1,0.27586206896551724
INTELLIFIBER.GRAPHML,4,10,0.10344827586206896
INTELLIFIBER.GRAPHML,4,7,0.06896551724137931
INTELLIFIBER.GRAPHML,4,5,0.017241379310344827
INTELLIFIBER.GRAPHML,4,2,0.13793103448275862
INTELLIFIBER.GRAPHML,4,16,0.08620689655172414
INTELLIFIBER.GRAPHML,4,46,0.05172413793103448
INTELLIFIBER.GRAPHML,4,24,0.1206896551724138
INTELLIFIBER.GRAPHML,4,9,0.05172413793103448
INTELLIFIBER.GRAPHML,4,3,0.05172413793103448
INTELLIFIBER.GRAPHML,4,53,0.15517241379310345
INTELLIFIBER.GRAPHML,4,34,0.08620689655172414
INTELLIFIBER.GRAPHML,4,20,0.10344827586206896
INTELLIFIBER.GRAPHML,4,45,0.017241379310344827
INTEROUTE.GRAPHML,2,43,0.047058823529411764
INTEROUTE.GRAPHML,2,32,0.023529411764705882
INTEROUTE.GRAPHML,2,10,0.08235294117647059
INTEROUTE.GRAPHML,2,16,0.03529411764705882
INTEROUTE.GRAPHML,2,18,0.12941176470588237
INTEROUTE.GRAPHML,2,56,0.03529411764705882
INTEROUTE.GRAPHML,2,84,0.08235294117647059
INTEROUTE.GRAPHML,2,57,0.058823529411764705
INTEROUTE.GRAPHML,2,40,0.03529411764705882
INTEROUTE.GRAPHML,2,7,0.058823529411764705
INTEROUTE.GRAPHML,2,33,0.047058823529411764
INTEROUTE.GRAPHML,2,42,0.011764705882352941
INTEROUTE.GRAPHML,2,50,0.12941176470588237
INTEROUTE.GRAPHML,2,72,0.011764705882352941
INTEROUTE.GRAPHML,2,11,0.08235294117647059
INTEROUTE.GRAPHML,2,38,0.023529411764705882
INTEROUTE.GRAPHML,2,45,0.07058823529411765
INTEROUTE.GRAPHML,2,49,0.023529411764705882
INTEROUTE.GRAPHML,2,53,0.2235294117647059
INTEROUTE.GRAPHML,2,37,0.08235294117647059
INTEROUTE.GRAPHML,2,52,0.047058823529411764
INTEROUTE.GRAPHML,2,63,0.011764705882352941
INTEROUTE.GRAPHML,2,101,0.047058823529411764
INTEROUTE.GRAPHML,2,41,0.011764705882352941
INTEROUTE.GRAPHML,2,51,0.07058823529411765
INTEROUTE.GRAPHML,3,32,0.08536585365853659
