Graph Name,No of sources of Evidences,Controller,Sorted-Case Controller to Ranks
RENATER2010.GRAPHML,2,2,0.2
RENATER2010.GRAPHML,3,30,1.1025641025641026
RENATER2010.GRAPHML,3,3,0.717948717948718
RENATER2010.GRAPHML,3,5,0.6923076923076923
RENATER2010.GRAPHML,4,32,1.0975609756097562
RENATER2010.GRAPHML,4,0,0.9024390243902439
RHNET.GRAPHML,2,1,0.45454545454545453
RHNET.GRAPHML,2,15,0.36363636363636365
RHNET.GRAPHML,2,11,0.2727272727272727
RHNET.GRAPHML,3,9,1.0
RHNET.GRAPHML,3,1,0.6153846153846154
RHNET.GRAPHML,3,11,0.3076923076923077
RHNET.GRAPHML,4,9,1.0
RHNET.GRAPHML,4,1,0.6153846153846154
RHNET.GRAPHML,4,11,0.3076923076923077
RNP.GRAPHML,2,5,1.1111111111111112
RNP.GRAPHML,2,16,1.1111111111111112
RNP.GRAPHML,2,4,0.1111111111111111
RNP.GRAPHML,3,16,1.25
RNP.GRAPHML,3,5,0.25
RNP.GRAPHML,3,4,0.125
RNP.GRAPHML,4,5,2.076923076923077
RNP.GRAPHML,4,4,0.11538461538461539
RNP.GRAPHML,4,0,0.11538461538461539
ROEDUNETFIBRE.GRAPHML,2,27,0.6341463414634146
ROEDUNETFIBRE.GRAPHML,2,42,0.36585365853658536
ROEDUNETFIBRE.GRAPHML,2,16,0.36585365853658536
ROEDUNETFIBRE.GRAPHML,3,4,0.975609756097561
ROEDUNETFIBRE.GRAPHML,3,25,0.2926829268292683
ROEDUNETFIBRE.GRAPHML,3,2,0.24390243902439024
ROEDUNETFIBRE.GRAPHML,4,4,0.975609756097561
ROEDUNETFIBRE.GRAPHML,4,22,0.43902439024390244
ROEDUNETFIBRE.GRAPHML,4,2,0.24390243902439024
SINET.GRAPHML,2,49,0.5072463768115942
SINET.GRAPHML,2,34,0.42028985507246375
SINET.GRAPHML,2,20,0.36231884057971014
SINET.GRAPHML,3,35,0.5909090909090909
SINET.GRAPHML,3,52,0.36363636363636365
SINET.GRAPHML,3,66,0.21212121212121213
